Prefab Name,  Mesh Name, Mesh File Name
ClickMarkerObj,Sphere,DomeAPolar.fbx,
Marker_Post,UprightBoxPost,BoxPostBasic.fbx,Marker_Post,UprightBoxPost,BoxPostBasic.fbx,
Simple_SubJoiner,Joiner,GirderAndJoiner.fbx,
ArrowDirection_Extra,Arrow,DirectionArrow.fbx,
BoxMetal1_Extra,CubeBev1,CubeBev1.fbx,
BrickRubbleFakeSparse_Extra,Plane1x1_Template,Plane1x1_Template.fbx,
BrickRubbleFake_Extra,Plane1x1_Bev_T,Plane1x1_Bev_T.fbx,
Brick_Extra,Brick,Brick_BrokenPost1.fbx,
CinderBlock_Extra,CinderBlock_Bev,CinderBlock_Bev.fbx,
ConcreteBlock_Extra,Block_Small,BlockSmall.fbx,
ConcreteBollard_Extra,Cylinder,Cylinder6_Bev1_T.fbx,
ConcreteDome_Extra,SpherePolarBDome,DomeBPolar.fbx,
ConcretePlanter_Extra,Cube,BasicBoxWallMaxedUVs.fbx,
GroundVegScatter1_Extra,GroundVegScatter2,GroundVegScatter2.fbx,
GroundVegScatter2_Extra,GroundVegScatter2,GroundVegScatter2.fbx,
JuniperBushNew_Extra,Juniper_Bush_01_Var1_LOD2,Juniper_Bush_01_Var1 unity.fbx,
Juniper_Bush_01_Extra,Juniper_Bush_01_Var1_LOD2,Juniper_Bush_01_Var1 unity.fbx,
LamppostAFB_Extra,Lamppost,LamppostAFB.fbx,
MetalDarkSpire_Extra,SpireOrnament,SpireOrnament.fbx,
MetalPainted_SmallBlock_Black_Extra,Block_Small,BlockSmall.fbx,
PoleTransformer_Extra,Transformer,Transformer.fbx,
RoadLanternAFB_Extra,Cylinder_1,RoadLantern1Lo.fbx,
RockAA 218_Extra,RockAA_218,RockAA 218.fbx,
RockAA Dark 110_Extra,RockAA_218,RockAA 218.fbx,
RustyDome_Extra,SpherePolarBDome,DomeBPolar.fbx,
RustySpireLP_Extra,Spire_Low,SpireOrnament_LP.fbx,
RustySpire_Extra,SpireOrnament,SpireOrnament.fbx,
SilverBirchBark_Extra,SilverBirchTrunk_01_LOD2,SilverBirch_01trunkBark.fbx,
SilverBirchWithBranches_Extra,SilverBirchTrunk_01_LOD2,SilverBirch_01trunkBark.fbx,
SilverBirch_Extra,SilverBirchTrunk_01_LOD2,SilverBirch_01trunkBark.fbx,
SphereRusty_Extra,SpherePolarB,DomeBPolar.fbx,
SpireOrnament_Extra,SpireOrnament,SpireOrnament.fbx,
SpireOrnament_LP_Extra,Spire_Low,SpireOrnament_LP.fbx,
SteelBlock_Extra,Block_Small,BlockSmall.fbx,
TestPebblesSparse_Extra,Plane1x1_Template,Plane1x1_Template.fbx,
TyreSingle_Extra,TyreSingle,TireSingle.fbx,
TyreWallPostLoPoly387_Extra,Torus_4,TireStackComp2.fbx,
WoodBlock_Extra,Block_Small,BlockSmall.fbx,
[User]turbRock4_Extra,_user_turbRock4_0_Extra,_user_turbRock4_0_Extra.asset,
[User]turbRock5_Extra,_user_turbRock5_0_Extra,_user_turbRock5_0_Extra.asset,
ABasicConcrete_Post,Cylindrical_PostC,CylindricalBeveledC_Post.fbx,
ArchBrick_Post,Arch1T,ArchT.fbx,
ArchConcrete_Post,Arch1T,ArchT.fbx,
Bannister1_Post,Bannister1_Post,Bannister1_Post.fbx,
Brick2_Broken1_Post,BrickBrokenPost1,Brick_BrokenPost1.fbx,
Brick2_B_Post,Basic_Wall_Bevel_3_2__25,BasicSquarePostBevNoSmooth 1.fbx,
BrickOldSquare_Post,UrbanWallJoiner,OldSquarePost.fbx,
BrickSquare_Post,WallPlainPost,WallPlainPost.fbx,
BrickSquare_Short_Post,WallPlainPost_Short,WallPlainPost_Short.fbx,
BrickTall_ConcreteTop_Post,BrickPostTall,BrickPostTall.fbx,
BrickWall_OldEnglish_Post,PostBev2cm,PostTightBev.fbx,
Brick_BrokenPost1B_Post,BrickBrokenPost1B,Brick_BrokenPost1B.fbx,
Brick_Broken_Post,BrickBrokenPost1,Brick_BrokenPost1.fbx,
Brick_Post,Cube,BasicBoxWallMaxedUVs.fbx,
Brick_WallPlain_Post,WallPlainPost,WallPlainPost.fbx,
BuildingTest_Post,Basic_Wall_Bevel_3_2__25,BasicSquarePostBevNoSmooth 1.fbx,
CastleSupport_Brown_Post,castleSupport,CastleSupport2.fbx,
CastleSupport_Post,castleSupport,CastleSupport2.fbx,
CastleTurret1_Brown_Post,CastleTurret,Castle_Turret.fbx,
CastleTurret1_Post,CastleTurret,Castle_Turret.fbx,
CastleTurret2_Brown_Post,CastleTurret2,Castle_Turret2.fbx,
CastleTurret2_Post,CastleTurret2,Castle_Turret2.fbx,
CastleTurret_Entrances_Brown_Post,CastleTurret2Openings,Castle_Turret2Openings.fbx,
ChromeCylinderWithBase_Post,Post,Post2mCentrePivot.fbx,
CinderBlock_Bev_Flat_Post,CinderBlock_Bev,CinderBlock_Bev.fbx,
CinderBlock_Bev_Up_Post,CinderBlock_Bev_Up,CinderBlock_Bev_Up.fbx,
CleanWoodVert_Post,PostA,BlockSmallExtraLoops.fbx,
ConcreteBollardNoTaper_Post,BollardNoTaper,BollardSimpleNoTaper.fbx,
ConcreteBollard_Post,Cylinder,Cylinder6_Bev1_T.fbx,
ConcreteCleanSquare_Post,BasicSquarePost,BasicSquarePost.fbx,
ConcreteLinedSquare_Post,BasicSquarePostBevel1,BasicSquarePostBiggerBevel1.fbx,
ConcreteMouldy_Post,ConcretePost,ConcretePost1.fbx,
